@relation RNA
@attribute Feature1 real
@attribute Feature2 real
@attribute Feature3 real
@attribute Feature4 real
@attribute Feature5 real
@attribute Feature6 real
@attribute Feature7 real
@attribute Feature8 real
@attribute Feature9 real
@attribute Feature10 real
@attribute Feature11 real
@attribute Feature12 real
@attribute Feature13 real
@attribute Feature14 real
@attribute Feature15 real
@attribute Feature16 real
@attribute Feature17 real
@attribute Feature18 real
@attribute Feature19 real
@attribute class20 {0,1}
@attribute class19 {0,1}
@attribute class26 {0,1}
@data
0.05570745,0.03211961,0.02877382,0.04232428,0.03596727,0.0128813,0.00301121,0.03529811,0.02777008,0.01505607,0.01304859,0.0194056,0.03931306,0.02726821,0.03044671,0.04533549,0.20465199,0.16498328,0.16663787,1,1,0
0.02392061,0.02083408,0.0331802,0.01967663,0.03510928,0.04552632,0.00733051,0.03896744,0.02700714,0.02970785,0.0331802,0.01929081,0.0119603,0.03047948,0.0354951,0.02392061,0.20655534,0.18264697,0.17521113,1,1,0
0.02184944,0.02166427,0.02499724,0.01388736,0.03018185,0.03795877,0.01962746,0.02925603,0.02314559,0.03314449,0.03684778,0.01647966,0.00740659,0.02425658,0.02795988,0.01351703,0.2325044,0.20123737,0.18407821,1,1,0
0.05116833,0.02680246,0.03167563,0.02802075,0.03045734,0.02436587,0.00730976,0.02558417,0.04020369,0.0194927,0.02558417,0.02558417,0.01583782,0.01583782,0.04751345,0.02558417,0.21153195,0.17474449,0.17270128,1,1,0
0.01735892,0.02549592,0.01952879,0.01301919,0.02820825,0.03363291,0.01573152,0.03200551,0.02169865,0.02875072,0.03471785,0.02549592,0.00867946,0.02169865,0.04014251,0.01356166,0.23472574,0.19889316,0.18665465,1,1,0
0.03383078,0.02767973,0.01845315,0.02152868,0.03075525,0.01845315,0.0123021,0.03075525,0.01537763,0.03383078,0.02152868,0.01537763,0.01845315,0.0123021,0.03383078,0.05228393,0.23950875,0.17392196,0.18982654,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.01137299,0.01990274,0.01705949,0.01421624,0.00852974,0.02843248,0.02558923,0.03127573,0.02274598,0.02558923,0.04264872,0.01990274,0.01990274,0.01990274,0.02274598,0.01137299,0.2363294,0.20707501,0.21540585,1,1,0
0.03616154,0.03128583,0.02762904,0.04022463,0.03616154,0.02031547,0.00243786,0.0385994,0.03494261,0.017065,0.01625238,0.02112809,0.02762904,0.02884797,0.0430688,0.04510035,0.19961001,0.17014769,0.16339275,1,1,0
0.06539302,0.03566892,0.03184725,0.02887484,0.03439503,0.03906596,0.0084926,0.0254778,0.02293002,0.01656057,0.01358816,0.01740983,0.03949059,0.01571131,0.01656057,0.02802558,0.20956015,0.17924996,0.17169786,1,1,0
0.06054869,0.03488131,0.03060341,0.02698365,0.03586851,0.03521038,0.01217555,0.02402203,0.02336389,0.019086,0.01414996,0.01612438,0.03356503,0.01776972,0.01579531,0.02402203,0.21826095,0.18149692,0.17607227,1,1,0
0.04616393,0.01923497,0.03526411,0.03355434,0.02863873,0.01645659,0.00748027,0.02778385,0.03141712,0.02201336,0.02500546,0.02479174,0.02821129,0.02265452,0.03526411,0.03098968,0.21595438,0.17560337,0.17351818,1,1,0
0.03757933,0.02116242,0.02924262,0.02244499,0.02744702,0.02398408,0.01192791,0.02693399,0.02552317,0.02334279,0.03001216,0.02590794,0.01987985,0.02180371,0.03360336,0.03462942,0.22105842,0.18286067,0.18065612,1,1,0
0.02889808,0.01997367,0.03068296,0.02719819,0.02898307,0.02456336,0.00977435,0.03374275,0.02974802,0.02711319,0.02600827,0.02090861,0.01903873,0.02541331,0.03739751,0.03824745,0.21691801,0.18104537,0.17434511,1,1,0
0.00854342,0.00928146,0.01252438,0.00541232,0.00700024,0.04265,0.04200141,0.01478324,0.01547656,0.03526956,0.04191195,0.01760123,0.00474137,0.01923387,0.01382155,0.00845396,0.27574038,0.21611357,0.20943952,1,1,0
0.0403777,0.01682404,0.03504042,0.0254101,0.03051533,0.02482997,0.00951429,0.02459791,0.02842683,0.02668641,0.02355366,0.03028328,0.0183324,0.02111707,0.04084181,0.02947108,0.22156577,0.17694341,0.17566852,1,1,0
0.03084553,0.02071888,0.03363908,0.02479282,0.03107832,0.02514201,0.00826427,0.03119472,0.03049633,0.02130087,0.02479282,0.02909955,0.01757613,0.02851756,0.0389934,0.03689823,0.21103841,0.1769462,0.17866484,1,1,0
0.03850377,0.0207328,0.03569003,0.01392059,0.03346866,0.03095111,0.01421678,0.03021065,0.02843355,0.03228393,0.03228393,0.01880761,0.0085893,0.02487936,0.02947019,0.01599387,0.22113324,0.19485105,0.17557959,1,1,0
0.03200484,0.02559022,0.03193659,0.02340652,0.03186835,0.02463485,0.01071377,0.02518078,0.03050354,0.02347476,0.02640911,0.02729623,0.01856144,0.01869792,0.03862417,0.02429365,0.22390317,0.18238541,0.18051466,1,1,0
0.02156579,0.02312208,0.03579477,0.01756389,0.03245985,0.03912968,0.00822613,0.03646175,0.02868028,0.02756864,0.03268218,0.02134346,0.01534061,0.02667933,0.03334916,0.02623467,0.21029016,0.18466416,0.17884341,1,1,0
0.0250907,0.02140089,0.0375438,0.01623516,0.03154786,0.03164011,0.01291433,0.03440746,0.03247031,0.03357726,0.02739683,0.01808006,0.01125392,0.02389151,0.0336695,0.01817231,0.22628742,0.18614749,0.17827311,1,1,0
0.02975081,0.01846403,0.05359777,0.01198136,0.03675441,0.03050327,0.01007129,0.03096631,0.03802779,0.04040091,0.03137148,0.01325474,0.00931883,0.01886919,0.02801439,0.01614879,0.21850487,0.18905162,0.17494812,1,1,0
0.02663742,0.02868646,0.04482259,0.02253936,0.03995614,0.02919872,0.00461032,0.04328581,0.03918775,0.0220271,0.02791807,0.01818516,0.01716065,0.03713872,0.0299671,0.03022323,0.19818758,0.16824743,0.17202039,1,1,0
0.00985797,0.01865594,0.02437992,0.00805597,0.02475092,0.03906087,0.02082893,0.03248889,0.02188893,0.04017387,0.03810688,0.01637695,0.00450499,0.01923894,0.03317789,0.01059997,0.2455301,0.2040229,0.18829919,1,1,0
0.02070481,0.02128531,0.02979944,0.02322034,0.02950918,0.02641314,0.01112641,0.03328249,0.02592938,0.02650989,0.0270904,0.02592938,0.01896328,0.02602613,0.0374428,0.03037995,0.22343373,0.18485026,0.17810366,1,1,0
0.02185501,0.02156099,0.02979337,0.02361909,0.02949936,0.02636321,0.01107451,0.03322353,0.02646122,0.02587319,0.02724526,0.02548117,0.01911088,0.02626521,0.0369477,0.03077342,0.22188239,0.18545628,0.1775142,1,1,0
0.02103659,0.02163196,0.02947107,0.02351732,0.02937184,0.02639496,0.0112129,0.033341,0.02609727,0.02599805,0.02738725,0.0255019,0.01925046,0.0261965,0.03691326,0.03076105,0.22259346,0.18568204,0.17764113,1,1,0
0.0215089,0.02122211,0.03011245,0.0233252,0.02963448,0.02638425,0.01099344,0.0331715,0.02628865,0.02638425,0.02695782,0.02590627,0.01883223,0.02609746,0.03747328,0.03039924,0.22274943,0.18463649,0.17792258,1,1,0
0.03556874,0.02367075,0.02980761,0.02617559,0.02930664,0.0235455,0.00851646,0.03206196,0.0268018,0.0211659,0.02367075,0.02692704,0.02342026,0.02517365,0.03657068,0.03719689,0.21354976,0.17729936,0.1795707,1,1,0
0.03498631,0.0224694,0.0348642,0.02442326,0.03303245,0.02607183,0.00952507,0.03132283,0.02857521,0.0250949,0.02234728,0.02411797,0.02014919,0.02637712,0.03333774,0.03138388,0.21500161,0.17995326,0.17696651,1,1,0
0.03493385,0.02238421,0.03487351,0.02419425,0.03258079,0.02624564,0.00983457,0.03149477,0.0289607,0.02528028,0.02208254,0.02383225,0.01997082,0.0261853,0.03336514,0.03119309,0.21579093,0.17999813,0.17679923,1,1,0
0.05206071,0.02372717,0.03398287,0.03241844,0.02963723,0.01703489,0.00738758,0.02894193,0.03128857,0.01955536,0.02155435,0.02233657,0.02928958,0.02268422,0.03172314,0.04050132,0.20859829,0.17816773,0.16911005,1,1,0
0.03501127,0.02109113,0.02678573,0.02594209,0.02298933,0.02214568,0.01370923,0.03205851,0.02720755,0.0242548,0.02594209,0.02172386,0.02383297,0.02341115,0.03248034,0.03416763,0.22578997,0.17926127,0.18219541,1,1,0
0.03488784,0.02109983,0.02674038,0.02611365,0.02318892,0.02214438,0.01378801,0.03196311,0.0271582,0.02423347,0.02569583,0.02172656,0.02381565,0.02360674,0.03238093,0.0340522,0.22561931,0.18000312,0.18178185,1,1,0
0.02667053,0.02667053,0.03783881,0.01933613,0.03533845,0.02667053,0.0108349,0.03667197,0.03417161,0.02583707,0.02450354,0.01966951,0.01416872,0.03033772,0.03117118,0.025337,0.21804004,0.17962194,0.17710983,1,1,0
0.02684605,0.02667506,0.03796066,0.01932232,0.03522475,0.02667506,0.01060162,0.03710569,0.03436978,0.0254781,0.02428114,0.0198353,0.0141925,0.03077891,0.03129189,0.02582009,0.21728979,0.17892507,0.17732624,1,1,0
0.02821935,0.0278773,0.03796786,0.02154932,0.03574451,0.02514088,0.0097485,0.03574451,0.03523143,0.02428575,0.02445677,0.01983906,0.01641853,0.02907448,0.03163988,0.02599601,0.21549119,0.17852615,0.1770485,1,1,0
0.03975189,0.0222828,0.03602515,0.0255437,0.02965864,0.02663066,0.00527955,0.03493819,0.03090089,0.01917718,0.02562134,0.02771763,0.02329213,0.02841639,0.036491,0.03788852,0.20468018,0.17565531,0.17004884,1,1,0
0.03001249,0.02360358,0.03470195,0.01469362,0.03173196,0.02563567,0.01125469,0.03563984,0.02766777,0.02860566,0.03032512,0.02250937,0.01375573,0.02626093,0.03282616,0.02438515,0.22307543,0.18731242,0.17600248,1,1,0
0.0294994,0.02290911,0.03263764,0.01522044,0.03044088,0.02793029,0.01239603,0.03373602,0.02698882,0.02777338,0.03044088,0.02353676,0.01349441,0.02573352,0.03326529,0.02400749,0.22401375,0.18698341,0.1789925,1,1,0
0.02695019,0.022804,0.03139252,0.01362317,0.03035598,0.02798673,0.01569626,0.0315406,0.02546941,0.03065213,0.03050406,0.02087899,0.01214239,0.0241367,0.02976367,0.0214713,0.23306611,0.18842051,0.18314528,1,1,0
0.04018387,0.02609694,0.03521733,0.03160529,0.03323071,0.02248491,0.00550835,0.02997988,0.03386281,0.01923408,0.02672905,0.02284611,0.02573574,0.02347822,0.03521733,0.0325986,0.20658025,0.17885527,0.17055525,1,1,0
0.03867006,0.0263001,0.03465818,0.03109207,0.03432386,0.02317975,0.00579494,0.02852892,0.03265224,0.01961363,0.02730307,0.02373696,0.02496281,0.02284543,0.03554971,0.03120351,0.20897481,0.18009001,0.17051993,1,1,0
0.03839214,0.02264438,0.03451104,0.02602289,0.0334221,0.02426383,0.00999592,0.02873128,0.03236108,0.02501771,0.02588328,0.02236517,0.01739513,0.0244872,0.035237,0.02557614,0.21616676,0.18698434,0.1705426,1,1,0
0.03033999,0.02228938,0.03003959,0.02258977,0.02901824,0.02841745,0.01075417,0.03298347,0.02505302,0.02198898,0.02721587,0.02637476,0.02090755,0.02847753,0.03256291,0.03502616,0.21713992,0.18116967,0.17765157,1,1,0
0.02916502,0.02118483,0.02996878,0.02193118,0.02864832,0.02830385,0.01205641,0.03163371,0.02468693,0.0235387,0.02750009,0.0260648,0.01980695,0.02761491,0.03220783,0.03278194,0.22153665,0.18116465,0.18020444,1,1,0
0.02861308,0.02172672,0.02893338,0.0211929,0.02781234,0.02813264,0.01281183,0.03213633,0.02450262,0.02316805,0.02754543,0.02583719,0.01959142,0.02786572,0.03170927,0.03218972,0.22256435,0.18150356,0.18216345,1,1,0
0.02426694,0.02720839,0.04191562,0.0154426,0.0404449,0.03235592,0.0095597,0.03603273,0.03382664,0.02647302,0.03529737,0.01691332,0.01029507,0.03162056,0.02573766,0.02059013,0.21007405,0.18935634,0.17258905,1,1,0
0.05164241,0.02047362,0.02974277,0.03055764,0.02464983,0.01874202,0.00784313,0.03096507,0.02495541,0.0190476,0.01772343,0.02760373,0.03127065,0.02393682,0.03391898,0.05317029,0.20867477,0.17823728,0.16684455,1,1,0
0.03837139,0.02179495,0.04481778,0.0138137,0.03315288,0.03284591,0.01135793,0.03284591,0.04052019,0.031925,0.03714351,0.01565553,0.00706034,0.02363678,0.03161803,0.0116649,0.21085687,0.19420257,0.16671584,1,1,0
0.02091378,0.02239005,0.02288214,0.02411236,0.03346205,0.05289957,0.011072,0.03395414,0.02263609,0.0270649,0.03666063,0.01796125,0.0132864,0.0292793,0.03346205,0.02608072,0.20941204,0.1904286,0.17204192,1,1,0
0.02342136,0.02149368,0.03469831,0.01590339,0.03643323,0.04308374,0.01175887,0.03633684,0.02583097,0.03228871,0.0298791,0.01985515,0.00992757,0.03065018,0.03151763,0.01715639,0.22095548,0.18647013,0.17233928,1,1,0
0.02660047,0.02153372,0.03293392,0.01900034,0.0240671,0.01815588,0.02237818,0.01731142,0.03842291,0.02153372,0.03166723,0.02533379,0.01097797,0.02068926,0.02955608,0.02237818,0.23340003,0.20879691,0.1752629,1,1,0
0.02578622,0.02071352,0.03254982,0.01775445,0.0219817,0.01986807,0.02240442,0.0185999,0.03804524,0.0219817,0.03128164,0.02578622,0.01099085,0.0202908,0.0304362,0.02451805,0.23377989,0.20792383,0.17530749,1,1,0
0.03543766,0.01962408,0.03019822,0.03057927,0.02753087,0.02219617,0.01000257,0.02838824,0.02524457,0.02295827,0.02152933,0.02667351,0.0277214,0.02333932,0.0345803,0.04248709,0.22042534,0.17678244,0.17430132,1,1,0
0.03807832,0.02251101,0.03124662,0.02687881,0.02967869,0.02083108,0.00795165,0.03527844,0.02788677,0.01993512,0.02239901,0.0248629,0.02307098,0.03046266,0.03348652,0.04602997,0.2078955,0.17758379,0.17393215,1,1,0
0.0142031,0.01931123,0.02840619,0.01457686,0.02865537,0.04011752,0.01146215,0.04098964,0.021803,0.03401268,0.03401268,0.02192759,0.0119605,0.02778325,0.03775033,0.02329806,0.21944582,0.18863759,0.18164647,1,1,0
0.0404795,0.02227057,0.03153476,0.03034821,0.03185421,0.02496312,0.00748437,0.03098712,0.02646912,0.02094711,0.0221793,0.02441548,0.02587585,0.02706239,0.03281258,0.04422168,0.20951989,0.17716058,0.16941415,1,1,0
0.02864313,0.02297122,0.02835954,0.02552358,0.03417324,0.03275526,0.0060973,0.03757638,0.02566538,0.02396381,0.02864313,0.02396381,0.01701572,0.03091189,0.03913616,0.0365838,0.2081451,0.17632898,0.17354256,1,1,0
0.03117577,0.01328803,0.02708715,0.02913146,0.03066469,0.03219793,0.01482127,0.02299852,0.02555391,0.02657607,0.02708715,0.02555391,0.01379911,0.02862038,0.0352644,0.0235096,0.22719297,0.18959679,0.1758809,1,1,0
0.04871192,0.02285603,0.03942665,0.02685584,0.0364268,0.02442738,0.00528546,0.02842719,0.03428405,0.02285603,0.02985569,0.02214178,0.01842768,0.02442738,0.03456975,0.02814149,0.20211197,0.18231294,0.16845398,1,1,0
0.02201108,0.01802812,0.02557477,0.01435961,0.02347848,0.02976736,0.021487,0.02484107,0.02169663,0.03280698,0.03018662,0.02043886,0.01278739,0.01907627,0.02777588,0.02494589,0.24352146,0.19398834,0.19322819,1,1,0
0.03787382,0.01920363,0.0234711,0.0218708,0.03040574,0.03680695,0.01013525,0.04000756,0.02560484,0.02613827,0.02560484,0.0218708,0.00906838,0.03520665,0.03947412,0.03840726,0.20256951,0.18627693,0.17000356,1,1,0
0.0416769,0.01987667,0.03141797,0.02051786,0.02885324,0.02885324,0.01218248,0.02949442,0.03334152,0.02500614,0.0339827,0.01923549,0.01025893,0.02564732,0.03334152,0.03141797,0.20304102,0.19428352,0.17757112,1,1,0
0.046205,0.02016218,0.02100227,0.02268246,0.027723,0.03276355,0.01176127,0.03528382,0.02604282,0.02352255,0.02688291,0.02268246,0.01092118,0.03108337,0.03864418,0.036964,0.20509362,0.18817965,0.17239971,1,1,0
0.03229028,0.0234365,0.03671718,0.02538954,0.03268089,0.02291569,0.0048175,0.0377588,0.02929562,0.02304589,0.02890501,0.02434792,0.0235667,0.02877481,0.03515474,0.03202988,0.20912451,0.17343063,0.17631791,1,1,0
0.0322788,0.02342816,0.03683427,0.0253805,0.03266927,0.02290753,0.00481579,0.03774537,0.02941535,0.02303769,0.02889473,0.02433925,0.02355831,0.02876457,0.03514224,0.03201848,0.20909788,0.17336887,0.17630293,1,1,0
0.04053759,0.02443555,0.03291031,0.02952041,0.03460526,0.01920945,0.00579108,0.03079162,0.0261305,0.0209044,0.02259936,0.02683673,0.02598926,0.02584801,0.03531149,0.03728894,0.21372812,0.17196648,0.17559541,1,1,0
0.04049936,0.02506429,0.03256942,0.03016211,0.03483512,0.0182672,0.00552264,0.03115336,0.02662196,0.02039129,0.0229402,0.02676357,0.02619714,0.02605553,0.03582636,0.03695921,0.21337937,0.17061665,0.17617523,1,1,0
0.03175094,0.02494717,0.03126496,0.02753908,0.03466685,0.02365121,0.00502183,0.03790674,0.02624313,0.02365121,0.02559515,0.02365121,0.02284124,0.02899704,0.03725876,0.03531482,0.20904334,0.17731939,0.17333592,1,1,0
0.02643179,0.02449775,0.02428286,0.01977012,0.02965517,0.03674663,0.01504248,0.02944028,0.02578711,0.02686157,0.02535732,0.02213393,0.01332334,0.02277861,0.03545727,0.03803598,0.23066923,0.18412473,0.16960381,1,1,0
0.03439643,0.0196551,0.02119066,0.01904088,0.0224191,0.02579732,0.01781244,0.02641154,0.02180488,0.02303332,0.0334751,0.02272621,0.01596977,0.02364755,0.02856132,0.03101821,0.22970653,0.18582839,0.19750524,1,1,0
0.03998191,0.0210619,0.02248982,0.02213284,0.02534567,0.02463171,0.01570718,0.02534567,0.02391775,0.02070492,0.03034341,0.02320378,0.01677812,0.02427473,0.02962945,0.03355624,0.22389074,0.18283559,0.19416858,1,1,0
0.04379039,0.02288146,0.02367048,0.02327597,0.02722105,0.02524851,0.01262426,0.02643204,0.024854,0.01814737,0.02879908,0.0244595,0.01814737,0.024854,0.03116613,0.03708375,0.21663635,0.17944881,0.19125947,1,1,0
0.04675363,0.02511764,0.04327198,0.02536633,0.03282702,0.02536633,0.00820675,0.02586371,0.04352067,0.0189004,0.03058881,0.02039254,0.01740827,0.02287944,0.03133488,0.02238206,0.20499378,0.18360685,0.17121889,1,1,0
0.03200869,0.02372409,0.02836849,0.02359856,0.02987478,0.02849401,0.01267795,0.02836849,0.02836849,0.02196675,0.02774086,0.02397514,0.0175734,0.02510485,0.03326393,0.0305024,0.2181234,0.18597082,0.18029491,1,1,0
0.0343182,0.02427751,0.02802403,0.02532653,0.02967251,0.02682514,0.01243847,0.02712487,0.02967251,0.02113042,0.02712487,0.02367806,0.01843292,0.02367806,0.03401848,0.03222015,0.21681731,0.18615621,0.17906375,1,1,0
0.03192351,0.02363698,0.02811986,0.02390867,0.02920662,0.02852739,0.0127694,0.02907077,0.02907077,0.02227854,0.02798401,0.02295776,0.01752397,0.02499543,0.0334178,0.03110844,0.21697155,0.18633886,0.18018965,1,1,0
0.03099233,0.02894137,0.03874041,0.0268904,0.0389683,0.02620675,0.0045577,0.03600579,0.03281541,0.02005386,0.02347213,0.02347213,0.02301636,0.03030867,0.03304329,0.03327118,0.21109643,0.16844206,0.16970543,1,1,0
0.04381003,0.02175532,0.0263459,0.03931925,0.02894057,0.0161668,0.00718524,0.02574713,0.028242,0.01736434,0.02085717,0.02554754,0.0302379,0.02275327,0.03762274,0.0544881,0.20869356,0.17271843,0.1722047,1,1,0
0.04617247,0.02231498,0.02704534,0.0408251,0.02951336,0.01336842,0.00462753,0.02694251,0.02879352,0.01532227,0.02046397,0.02735385,0.03177571,0.02344615,0.0398996,0.05799838,0.20334231,0.16949263,0.1713019,1,1,0
0.04622403,0.02264874,0.02748734,0.04066479,0.02975221,0.0132804,0.00473565,0.02666375,0.02923747,0.01533938,0.02007502,0.02728144,0.03181119,0.02316349,0.0396353,0.05703365,0.20407972,0.16908142,0.17180503,1,1,0
0.03535204,0.0198332,0.03097328,0.02607937,0.02569301,0.0168711,0.013909,0.02427635,0.02723846,0.02472711,0.02710967,0.02395439,0.02401878,0.01931805,0.03097328,0.04037473,0.22954798,0.18379145,0.17595875,1,1,0
0.02528617,0.01836575,0.03420287,0.01437319,0.02488692,0.02462075,0.02315681,0.01916426,0.03021032,0.03420287,0.03606607,0.01690181,0.01197766,0.01463936,0.02382224,0.01557096,0.24913415,0.20224425,0.18117361,1,1,0
0.04140878,0.02257992,0.03125885,0.03008205,0.02853749,0.0172843,0.00772277,0.02846394,0.02728714,0.01985856,0.02243282,0.02691939,0.02816974,0.02228572,0.03500991,0.04692505,0.21399255,0.17544029,0.17434074,1,1,0
0.02147521,0.0234275,0.03885061,0.00839486,0.02967484,0.0314319,0.02264659,0.0206943,0.03533649,0.03650786,0.03494603,0.01190898,0.00566165,0.01288513,0.02245136,0.0080044,0.24939104,0.19856225,0.18774902,1,1,0
0.02043583,0.02229363,0.03845652,0.00817433,0.02972485,0.03362623,0.02229363,0.02266519,0.03325467,0.0367845,0.03659872,0.01170416,0.00594497,0.01560554,0.02099317,0.00928901,0.24631135,0.20000365,0.18584004,1,1,0
0.02337018,0.02217608,0.03923461,0.00904102,0.02968184,0.03309354,0.02166433,0.0220055,0.03462881,0.03616408,0.03650525,0.01177038,0.00631165,0.0150115,0.02149374,0.00887043,0.24441747,0.19843721,0.18612237,1,1,0
